node,type
DB00436,drug
DB00423,drug
DB01325,drug
DB01031,drug
DB00310,drug
DB04665,drug
DB00075,drug
919,protein
760,protein
DB00695,drug
DB11085,drug
1786,protein
DB01099,drug
DB01035,drug
DB01278,drug
10267,protein
10266,protein
10268,protein
fenigam,drug
2550,protein
DB00837,drug
DB02530,drug
DB01080,drug
55576,protein
22927,protein
7846,protein
DB00643,drug
DB08860,drug
3156,protein
DB01098,drug
DB00175,drug
DB01095,drug
DB01076,drug
DB00439,drug
2,protein
DB00626,drug
DB08888,drug
5598,protein
28996,protein
DB04106,drug
7296,protein
51022,protein
DB00122,drug
5338,protein
DB14006,drug
12,protein
467,protein
DB00672,drug
6833,protein
DB01120,drug
DB01251,drug
6093,protein
3858,protein
1737,protein
5162,protein
6261,protein
DB01219,drug
DB09085,drug
5608,protein
3998,protein
DB11748,drug
177,protein
2911,protein
3630,protein
DB00107,drug
5020,protein
5128,protein
481,protein
57787,protein
10988,protein
4134,protein
5553,protein
9149,protein
3736,protein
3737,protein
DB00995,drug
3551,protein
DB00309,drug
81027,protein
57665,protein
DB01005,drug
6240,protein
DB00441,drug
6241,protein
DB05260,drug
50484,protein
773,protein
6401,protein
768,protein
27347,protein
DB00761,drug
6558,protein
DB08961,drug
DB02925,drug
3569,protein
DB09036,drug
DB06273,drug
3570,protein
DB11767,drug
9748,protein
3757,protein
DB01074,drug
DB00176,drug
DB00199,drug
DB00280,drug
DB06217,drug
DB00457,drug
DB12082,drug
DB00590,drug
DB00604,drug
DB01162,drug
DB00908,drug
DB12364,drug
DB00679,drug
DB00276,drug
DB01211,drug
DB00455,drug
DB00342,drug
DB00537,drug
DB01195,drug
3490,protein
DB00044,drug
3973,protein
DB00014,drug
DB09126,drug
DB00097,drug
DB06719,drug
DB00032,drug
7224,protein
4296,protein
56655,protein
1814,protein
DB00433,drug
DB05271,drug
DB09223,drug
DB11274,drug
DB08922,drug
DB00450,drug
DB00875,drug
DB06684,drug
DB01235,drug
DB01184,drug
DB00502,drug
DB12478,drug
haloperidol-decanoate,drug
DB06016,drug
DB06288,drug
nemonapride,drug
DB04946,drug
1813,protein
clebopride,drug
DB09097,drug
DB01624,drug
